topic,question,option1,option2,option3,option4,answer
Harry Potter,"What is the name of the headmaster of Hogwarts","Albus Dumbledore","Severus Snape","Minerva McGonagall","Gilderoy Lockhart","Albus Dumbledore"
Harry Potter,"What is the name of the dark wizard who killed Harry's parents","Lord Voldemort","Bellatrix Lestrange","Lucius Malfoy","Draco Malfoy","Lord Voldemort"
Harry Potter,"Which of these is not a Weasly","Ron","Ginny","Luna","Fred","Luna"
Harry Potter,"What is the name of the spell used to disarm an opponent","Expelliarmus","Stupefy","Avada Kedavra","Crucio","Expelliarmus"
Harry Potter,"What is the name of the spell used to summon objects","Accio","Lumos","Alohomora","Wingardium Leviosa","Accio"
Harry Potter,"What is the name of the spell used to unlock doors","Alohomora","Lumos","Accio","Wingardium Leviosa","Alohomora"
Harry Potter,"What is the name of the spell used to create light","Lumos","Alohomora","Accio","Wingardium Leviosa","Lumos"
Harry Potter,"What is the name of the spell used to levitate objects","Wingardium Leviosa","Lumos","Alohomora","Accio","Wingardium Leviosa"
Harry Potter,"What is the name of the spell used to kill someone","Avada Kedavra","Expelliarmus","Stupefy","Crucio","Avada Kedavra"
Harry Potter,"What is the name of the spell used to make someone barf slugs","Eat Slugs","Sluggio","Slertenoo","Chicken","Eat Slugs"
Harry Potter,"What is the name of the spell used to torture someone","Crucio","Avada Kadavra","Imperio","Alohomora","Crucio"
Harry Potter,"What is the name of the spell used to make somone your puppet","Imperio","Avada Kadavra","Crucio","Alohomora","Imperio"
Harry Potter,"What is the name of the potion that can allow you to become someone else","Polyjuice Potion","Polywhirl Potion","Polysoup Potion","Polytoad Potion","Polyjuice Potion"
Harry Potter,"What is Harry Potter's red-headed friend","Ronald Weasly","Hermione Granger","Luna Lovegood","Nevil Longbottom","Ronald Weasly"
Harry Potter,"Who is Harry's godfather","Sirius Black","Relaxed White","Remus Lupin","Alastor Moody","Sirius Black"
Harry Potter,"What is the name of the house elf who serves the Malfoy family","Dobby","Kreacher","Winky","Hokey","Dobby"
Harry Potter,"What is the name of the house elf who serves the Black family","Kreacher","Dobby","Winky","Hokey","Kreacher"
Harry Potter,"What is the original name of Lord Voldemort","Tom Riddle","Tom Marvolo Riddle","Tom Riddle Jr.","Tom Riddle Sr.","Tom Marvolo Riddle"
Harry Potter,"What is the name of the deathly hallow that can bring back the dead","The Resurrection Stone","The Invisibility Cloak","The Elder Wand","The Philosopher's Stone","The Resurrection Stone"
Harry Potter,"What is the name of the deathly hallow that can make you invisible","The Invisibility Cloak","The Resurrection Stone","The Elder Wand","The Philosopher's Stone","The Invisibility Cloak"
Harry Potter,"What is the name of the deathly hallow that is the most powerful wand","The Elder Wand","The Resurrection Stone","The Invisibility Cloak","The Philosopher's Stone","The Elder Wand"
Harry Potter,"What is the name of the spell that can create a Patronus","Expecto Patronum","Expecto Patronus Maximus","Expecto Patronum Major","Expecto Patronum Minor","Expecto Patronum"
Harry Potter,"What is the name of the spell that can counter the spell "Lumos"","Nox","Lumos Maxima","Lumos Duo","Lumos Totalis","Nox"
Harry Potter,"What is the name of the spell that can create a shield charm","Protego","Expelliarmus","Stupefy","Avada Kedavra","Protego"
Harry Potter,"What is the name of the memory erasing charm","Obliviate","Expelliarmus","Stupefy","Avada Kedavra","Obliviate"
Harry Potter,"What is the name of the spell that can create a fire","Incendio","Lumos","Alohomora","Wingardium Leviosa","Incendio"
Harry Potter,"Which of these characters is a wearwolf","Remus Lupin","Sirius Black","Peter Pettigrew","Alastor Moody","Remus Lupin"
Harry Potter,"Which of these characters is a half-giant","Rubeus Hagrid","Sirius Black","Remus Lupin","Alastor Moody","Rubeus Hagrid"
Harry Potter,"Which of these is not a horcux","The Diary","The Locket","The Cup","The Sword of Gryffindor","The Sword of Gryffindor"
Harry Potter,"What spell is used to repair broken objects","Reparo","Repairo","Repario","Reparus","Reparo"
Harry Potter,"What is the name of the first book in the Harry Potter series","Harry Potter and the Philosopher's Stone","Harry Potter and the Chamber of Secrets","Harry Potter and the Prisoner of Azkaban","Harry Potter and the Goblet of Fire","Harry Potter and the Philosopher's Stone"
Harry Potter,"What is the name of the second book in the Harry Potter series","Harry Potter and the Chamber of Secrets","Harry Potter and the Philosopher's Stone","Harry Potter and the Prisoner of Azkaban","Harry Potter and the Goblet of Fire","Harry Potter and the Chamber of Secrets"
Harry Potter,"What is the name of the third book in the Harry Potter series","Harry Potter and the Prisoner of Azkaban","Harry Potter and the Philosopher's Stone","Harry Potter and the Chamber of Secrets","Harry Potter and the Goblet of Fire","Harry Potter and the Prisoner of Azkaban"
Harry Potter,"What is the name of the fourth book in the Harry Potter series","Harry Potter and the Goblet of Fire","Harry Potter and the Philosopher's Stone","Harry Potter and the Chamber of Secrets","Harry Potter and the Prisoner of Azkaban","Harry Potter and the Goblet of Fire"
Harry Potter,"What is the name of the fifth book in the Harry Potter series","Harry Potter and the Order of the Phoenix","Harry Potter and the Philosopher's Stone","Harry Potter and the Chamber of Secrets","Harry Potter and the Prisoner of Azkaban","Harry Potter and the Order of the Phoenix"
Harry Potter,"What is the name of the sixth book in the Harry Potter series","Harry Potter and the Half-Blood Prince","Harry Potter and the Philosopher's Stone","Harry Potter and the Chamber of Secrets","Harry Potter and the Prisoner of Azkaban","Harry Potter and the Half-Blood Prince"
Harry Potter,"What is the name of the seventh book in the Harry Potter series","Harry Potter and the Deathly Hallows","Harry Potter and the Philosopher's Stone","Harry Potter and the Chamber of Secrets","Harry Potter and the Prisoner of Azkaban","Harry Potter and the Deathly Hallows"
Harry Potter,"Which book when being made into a movie was split into two parts","Harry Potter and the Deathly Hallows","Harry Potter and the Half-Blood Prince","Harry Potter and the Order of the Phoenix","Harry Potter and the Goblet of Fire","Harry Potter and the Deathly Hallows"
Harry Potter,"What is the name of Nevil Longbottom's pet toad","Trevor","Scabbers","Crookshanks","Hedwig","Trevor"
Harry Potter,"What is the name of Hermione Granger's pet cat","Crookshanks","Hedwig","Scabbers","Fawkes","Crookshanks"
Harry Potter,"What is the name of Ron Weasley's pet rat","Scabbers","Hedwig","Crookshanks","Fawkes","Scabbers"
Harry Potter,"Who was Ron Weasley's pet rat actually","Peter Pettigrew","Sirius Black","Remus Lupin","Alastor Moody","Peter Pettigrew"
Harry Potter,"Voldemort's snake is named what","Nagini","Fawkes","Hedwig","Scabbers","Nagini"
Harry Potter,"Voldemort's snake is what type of snake","Python","Anaconda","Boa Constrictor","unspecified","unspecified"
Harry Potter,"Voldemort was often referred to as what","He Who Must Not Be Named","The Dark Lord","The One Who Cannot Be Named","The Dark Wizard","He Who Must Not Be Named"
Undertale,"What is the name of the main character","Frisk","Chara","Asriel","Sans","Frisk"
Undertale,"What is the name of the underground world","The Underground","The Abyss","The Depths","The Underworld","The Underground"
Undertale,"What was the name of the first human to fall into the Underground","Chara","Frisk","Kris","Clover","Chara"
Undertale,"What is the name of the current royal scientist","Alphys","Undyne","W.D. Gaster","Amalgamate","Alphys"
Undertale,"What is the name of the previous royal scientist","W.D. Gaster","Alphys","Undyne","Amalgamate","W.D. Gaster"
Undertale,"What trait does the red soul represent","Determination","Kindness","Bravery","Integrity","Determination"
Undertale,"What trait does the blue soul represent","Determination","Kindness","Bravery","Integrity","Integrity"
Undertale,"What trait does the green soul represent","Determination","Kindness","Bravery","Integrity","Kindness"
Undertale,"What trait does the orange soul represent","Determination","Kindness","Bravery","Integrity","Bravery"
Undertale,"What trait does the purple soul represent","Determination","Perseverence","Patience","Justice","Perseverence"
Undertale,"What trait does the cyan soul represent","Determination","Perseverence","Patience","Justice","Patience"
Undertale,"What trait does the yellow soul represent","Determination","Perseverence","Patience","Justice","Justice"
Undertale,"Which boss does the theme "Heartache" play for","Toriel","Mettaton","Asgore","Sans","Toriel"
Undertale,"Which boss does the theme "Bonetrousle" play for,"Papyrus","Sans","Mettaton","Asgore","Papyrus"
Undertale,"Which boss does the theme "Spear of Justice" play for","Mettaton","Undyne","Asgore","Papyrus","Undyne"
Undertale,"Which boss does the theme "Metal Crusher" play for","Mettaton","Undyne","Asgore","Papyrus","Mettaton"
Undertale,"Which route must you be on to hear the theme "Battle Against a True Hero"","Pacifist","Neutral","Genocide","True Pacifist","Genocide"
Undertale,"Which boss does the theme "Battle Against a True Hero" play for","Mettaton","Undyne the Undying","Asgore","Sans","Undyne the Undying"
Undertale,"Which boss does the theme "Spider Dance" play for","Mettaton","Napstablook","Muffet","Asgore","Muffet"
Undertale,"Which boss does the theme "Death by Glamour" play for","Mettaton EX","Mettaton","Mettaton Gamma","MTT","Mettaton EX"
Undertale,"Which boss does the theme "Your Best Nightmare" play for","Asgore","Sans","Asriel Dreemurr","Flowey","Flowey"
Undertale,"The name "Clover" due to a popular fangame is associated with which of the human souls","Red","Blue","Green","Yellow","Yellow"
Undertale,"What is the name of the character of which serves as the creator's self insert","Temmie","Annoying Dog","Doggo","Dogamy","Annoying Dog"
Undertale,"What is the name of the character who is a skeleton with a lazy personality","Sans","Papyrus","Undyne","Mettaton","Sans"
Undertale,"Who is known for saying "NYEH HEH HEH"","Sans","Papyrus","Undyne","Mettaton","Papyrus"
Undertale,"Do you fight Sans in the Pacifist route","Yes","No","Only if you spare him","Only if you kill him","No"
Undertale,"What does Sans call you if you kill his brother","Dirty Killer","Monster","Murderer","Dirty brother killer","Dirty brother killer"
Undertale,"What is the switch exclusive boss","So Sorry","Mad Mew Mew","Glyde","Mettaton Neo","Mad Mew Mew"
Undertale,"What color is Undyne's spear","Green","Blue","Red","Yellow","Blue"
Undertale,"What color is the soul of determination","Red","Blue","Green","Yellow","Red"
Undertale,"What color is the soul of kindness","Green","Blue","Red","Yellow","Green"
Undertale,"What color is the soul of bravery","Orange","Blue","Red","Yellow","Orange"
Undertale,"What color is the soul of integrity","Blue","Green","Red","Yellow","Blue"
Undertale,"What color is the soul of perseverance","Purple","Blue","Red","Yellow","Purple"
Undertale,"What color is the soul of patience","Cyan","Blue","Red","Green","Cyan"
Undertale,"What color is the soul of justice","Yellow","Blue","Red","Green","Yellow"
Undertale,"Who is the captian of the royal guard","Undyne","Alphys","Mettaton","Sans","Undyne"
Undertale,"What are the melted monsters in the true lab called","Amalgamates","Melted Monsters","Melted Souls","Melted Beings","Amalgamates"
Undertale,"Who is the genocide final boss","Asgore","Sans","Undyne the Undying","Asriel Dreemurr","Sans"
Undertale,"Who is the True Pacifest final boss","Asgore","Sans","Undyne the Undying","Asriel Dreemurr","Asriel Dreemurr"
Undertale,"Who is the nuetral final boss","Flowey","Sans","Undyne the Undying","Asriel Dreemurr","Flowey"
Undertale,"Which character is known for their love of spaghetti","Sans","Papyrus","Undyne","Mettaton","Papyrus"
Undertale,"Which of these is a secret boss in the game","Cloud Strife","Mettaton","Glyde","Mettaton Neo","Glyde"
Undertale,"Which of these is not a royal guard member","Undyne","Sans","Alphys","Papyrus","Papyrus"
Undertale,"What are robots made of","Metal and magic","Nuts and bolts","Cords and wires","Cogs and gears","Metal and magic"
Undertale,"What is the first enemy you meet","Froggit","Whimsun","Moldsmal","Vegetoid","Froggit"
Undertale,"What is the name of the ghost you meet in the ruins","Napstablook","Mettaton","Glyde","Mad Mew Mew","Napstablook"
Undertale,"What kind of creature is taken care of the blook family farm","Snails","Slugs","Worms","Beetles","Snails"
Undertale,"When did undertale release","2015","2016","2014","2017","2015"
Undertale,"What is the name of the character who is a flower","Flowey","Flower","Flow","Greg","Flowey"
Deltarune,"What is the name of the character the player controls through the soul","Kris","Ralsei","Susie","Lancer","Kris"
Deltarune,"What is the name of the monster girl known for being rude","Susie","Ralsei","Lancer","Kris","Susie"
Deltarune,"What is the name of the prince of the card castle dark world","Lancer","Ralsei","Kris","Susie","Lancer"
Deltarune,"Deltarune chapter 1's dark world takes place where","A computer lab","An unused classroom","Kris's living room","Church","An unused classroom"
Deltarune,"Deltarune chapter 2's dark world takes place where","A computer lab","An unused classroom","Kris's living room","Church","A computer lab"
Deltarune,"Deltarune chapter 3's dark world takes place where","A computer lab","An unused classroom","Kris's living room","Church","Kris's living room"
Deltarune,"Deltarune chapter 4's dark world takes place where","A computer lab","An unused classroom","Kris's living room","Church","Church"
Deltarune,"Deltarune chapter 1's secret boss is named","Jevil","Spamton","Rudinn","Lancer","Jevil"
Deltarune,"Deltarune chapter 2's secret boss is named","Jevil","Spamton","Pop-Up","Spamton Neo","Spamton Neo"
Deltarune,"Deltarune chapter 3's secret boss is named","Jevil","Eram","Spamton","Knight","Eram"
Deltarune,"Deltarune chapter 4's secret boss is named","Jevil","Spamton","Gerson Boom","The hammer of justice","The hammer of justice"
Deltarune,"Deltarune chapter 1's main boss is named","Toriel","Queen","King","Asgore","King"
Deltarune,"Deltarune chapter 2's main boss is named","Spamton","Queen","King","Asgore","Queen"
Deltarune,"Deltarune chapter 3's main boss is named","Tenna","Spamton","Queen","Mike","Tenna"
Deltarune,"Deltarune chapter 4's main boss is named what","Rouxls Kaard","Titan","Queen","Mike","Titan"
Deltarune,"Finish the quote "SO I HAVETH A"","PLANETH","DREAMETH","RUBBER DUCKETH","LASERE POINTERE","LASERE POINTERE"
Deltarune,"In chapter 4,the old man's act has what description","IM OLD","HELLO THERE","WHAT'S THIS A BATTLE","I CAN'T SEE","IM OLD"
Deltarune,"What is the name of the speaker character in Deltarune chapter 2","Sweet","Cap'n","Cakes","Speaker","Sweet"
Deltarune,"What is the name of the casset player character in Deltarune chapter 2","Sweet","Cap'n","Cakes","Speaker","Cap'n"
Deltarune,"What is the name of the CD player character in Deltarune chapter 2","Sweet","Cap'n","Cakes","Speaker","Cakes"
Deltarune,"Who is the prophecy referring to when it says 'The First Hero. The Cage,With Human Soul And Parts'","Kris","Ralsei","Susie","Lancer","Kris"
Deltarune,"Who is the prophecy referring to when it says 'The Second Hero. The Girl,With Hope Crossed On Her Heart'","Kris","Ralsei","Susie","Lancer","Susie"
Deltarune,"Who is the prophecy referring to when it says 'The Third Hero. The Prince,Alone In Deepest Dark'","Kris","Ralsei","Susie","Lancer","Ralsei"
Deltarune,"In Deltarune Chapter 1 who does Lancer refer to as toothpaste boy","Ralsei","Kris","Ruddin","King","Ralsei"
Deltarune,"In Deltarune Chapter 2 what phrase do you say to Noelle many times during the weird route","Proceed","Continue","Stop","Halt","Proceed"
Deltarune,"In Deltarune,what is the name of your classmate who is a bird monster","Berdly","Berdsworth","Burghly","George","Berdly"
Deltarune,"In Deltarune,what bosses main gimmick is 'YOUR TAKING TOO LONG'","Jackenstien","Frankenjack","Plumpkin","George","Jackenstien"
Deltarune,"In Deltarune,which of Ralsei's spells is used to spare tired enemies","Pacify","Lightup","Heal Prayer","Dual Heal","Pacify"
Deltarune,"What is the name of Noelle Holiday's older sibling","Dess","Chester","Carol","Rudy","Dess"
Deltarune,"Which of these people did not grow up with kris","Susie","Noelle","Asriel","Dess","Susie"
Deltarune,"Which character is known for saying 'this ___ is pissing me off' followed by saying their name","The Original Starwalker","Lancer","Rules Kaard","Seam","The Original Starwalker"
Deltarune,"Which of these characters is currently a shop keeper","Spamton","Seam","Puzzler","Berdly","Seam"
Deltarune,"When making both Undertale and Deltarune,Toby Fox misspelt library to what","Libary","Lirbary","Librarby","He did not misspell it","Librarby"
Deltarune,"When was Deltarune Chapter 1 released","2018","2019","2017","2020","2018"
Deltarune,"When was Deltarune Chapter 2 released","2018","2019","2020","2021","2021"
Deltarune,"When was Deltarune Chapters 3 and 4 released","2024","2025","2023","unreleased","2025"
Deltarune,"How many total chapters of deltarune will there be","5","6","7","8","7"
Deltarune,"In what chapter does the credit theme 'Dont Forget' play","1","2","3","4","1"
Deltarune,"The King is what inanimate object in the light world","Playing card","Computer","TV","Darkness","Playing card"
Deltarune,"The Queen is what inanimate object in the light world","Playing card","Computer","TV","Darkness","Computer"
Deltarune,"Mr. Ant Tenna is what object in the real world","TV","An Antenna","Camera","Chair","TV"
Deltarune,"Which character appears at the end of deltarune chapter 3 who has been mentioned in other chapters","The Knight","The Squire","The King","The guard","The Knight"
Deltarune,"What undertale character is Ralsei's name an anagram of","Asriel","Muffet","Tenna","Flowey","Asriel"
Deltarune,"Which of these songs is not from chapter 1","The Legend","Dont Forget","Dark Sanctuary","Scarlet Forest","Dark Sanctuary"
Deltarune,"What symbol does spamton use in his text boxes often","[]","{}","()","<>","[]"
Deltarune,"Which of these characters has the only 3D sprite","Tenna","Lancer","Mike","None","Tenna"
Deltarune,"In what chapter are you able to race against the annoying dog to get a dog dollar","1","2","3","4","4"
Deltarune,"Which of these is not a possible name for lancer during the chapter three quiz","Prancer","dancer","Mancer","Mr Generosity","Mancer"
Deltarune,"Who helps Toby Fox with sprite work","Temmie Chang","Gerson Boom","Snowy","Siri","Temmie Chang"
Deltarune,"What is the name of the music minigame in Deltarune Chapter 3","Lightners Live","Darkners Dance","Monsters Mash","Humans hoedown","Lightners Live"
Legend of Zelda: Ocarina of Time,"What is the name of the blue fairy you meet at the begging of the game","Navi","Tatl","Tael","Saria","Navi"
Legend of Zelda: Ocarina of Time,"In which area do you start the game","Kokiri Forest","Death Mountain","Lost Woods","Hyrule Castle","Kokiri Forest"
Legend of Zelda: Ocarina of Time,"Which goddess created the land","Din","Nayru","Farore","Hylia","Din"
Legend of Zelda: Ocarina of Time,"Which goddess gave law and order to the world","Din","Nayru","Hylia","Farore","Nayru"
Legend of Zelda: Ocarina of Time,"Which goddess created all forms of life","Din","Nayru","Farore","Hylia","Farore"
Legend of Zelda: Ocarina of Time,"Which dungeon holds the Kokiri's Emerald","Great Deku Tree","Jabu Jabu's Stomach","Dodongo's Cavern","Temple of Time","Great Deku Tree"
Legend of Zelda: Ocarina of Time,"Which dungeon holds the Goron's Ruby","Great Deku Tree","Jabu Jabu's Stomach","Dodongo's Cavern","Temple of Time","Dodongo's Cavern"
Legend of Zelda: Ocarina of Time,"Which dungeon holds the Zora's Saphire","Great Deku Tree","Jabu Jabu's Stomach","Dodongo's Cavern","Temple of Time","Jabu Jabu's Stomach"
Legend of Zelda: Ocarina of Time,"Who is the light sage","Zelda","Rauru","Impa","Link","Rauru"
Legend of Zelda: Ocarina of Time,"Who is the forest sage","Saria","Navi","Farore","Link","Saria"
Legend of Zelda: Ocarina of Time,"Who is the fire sage","Darunia","Goro","Gronk","Goron","Darunia"
Legend of Zelda: Ocarina of Time,"Who is the water sage","Ruto","Saria","Zelda","Impa","Ruto"
Legend of Zelda: Ocarina of Time,"Who is the shadow sage","Impa","Ruto","Nabooru","Vaati","Impa"
Legend of Zelda: Ocarina of Time,"Who is the spirit sage","Impa","Ruto","Nabooru","Vaati","Nabooru"
Legend of Zelda: Ocarina of Time,"Who is the seventh sage","Gannon","Link","Zelda","Hylia","Zelda"
Legend of Zelda: Ocarina of Time,"What is the name of the sword that seals the darkness","Legendary Sword","Expert Sword","Master Sword","Special Sword","Master Sword"
Legend of Zelda: Ocarina of Time,"How many years was link sealed in the temple of time","6","7","8","10","7"
Legend of Zelda: Ocarina of Time,"Link is what species","Kokiri","Hylian","Human","Deku","Hylian"
Legend of Zelda: Ocarina of Time,"Which of these characters is in a time paradox","Windmill Guy","Malon","Link","Zelda","Windmill Guy"
Legend of Zelda: Ocarina of Time,"Who teaches you the song of storms","Windmill Guy","Storm Master","Dampé","Cyclone","Windmill Guy"
Legend of Zelda: Ocarina of Time,"What do adults become if they get lost in the lost woods","Skull Kids","Stalfos","Redeads","Gibdos","Stalfos"
Legend of Zelda: Ocarina of Time,"What do kids become if the get lost in the lost woods","Skull Kids","Stalfos","Redeads","Gibdos","Skull Kids"
Legend of Zelda: Ocarina of Time,"Which of these characters does not also appear in The Legend of Zelda: Majoras Mask","Happy Mask Salesman","Darunia","Navi","Anju/Cucoo lady","Navi"
Legend of Zelda: Ocarina of Time,"Which of these is the boss of the deku tree","Gohma","King Dodongo","Barinade","Phantom Gannon","Gohma"
Legend of Zelda: Ocarina of Time,"Which of these is the boss of dodongo's cavern","King Dodongo","Barinade","Phantom Gannon","Volvagia","King Dodongo"
Legend of Zelda: Ocarina of Time,"Which of these is the boss in Jabu Jabu's stomach","Barinade","Phantom Gannon","Volvagia","Morpha","Barinade"
Legend of Zelda: Ocarina of Time,"Which of these is the boss of the forest temple","Phantom Gannon","Volvagia","Morpha","Bongo Bongo","Phantom Gannon"
Legend of Zelda: Ocarina of Time,"Which of these is the boss of the fire temple","Volvagia","Morpha","Bongo Bongo","Twinrova","Volvagia"
Legend of Zelda: Ocarina of Time,"Which of these is the boss of the water temple","Morpha","Bongo Bongo","Twinrova","Gohma","Morpha"
Legend of Zelda: Ocarina of Time,"Which of these is the boss of the shadow temple","Bongo Bongo","Twinrova","Volvagia","Barinade","Bongo Bongo"
